1.png	[{"transcription": "IBKWM센터 광주", "points": [[484, 65], [2676, 65], [2676, 295], [484, 295]]}, {"transcription": "|BK기업은행", "points": [[2783, 69], [3348, 61], [3350, 161], [2784, 169]]}, {"transcription": "|BK투자증권", "points": [[2791, 165], [3364, 165], [3364, 266], [2791, 266]]}]
209.png	[{"transcription": "24시상무포차", "points": [[14, 13], [2746, 23], [2744, 469], [12, 458]]}, {"transcription": "첨타산주", "points": [[2782, 153], [3019, 191], [2976, 469], [2740, 430]]}, {"transcription": " 373-0994", "points": [[2287, 495], [2927, 485], [2929, 595], [2289, 606]]}]
21.png	[{"transcription": "상무스타치과병원", "points": [[218, 26], [1203, 5], [1205, 106], [220, 127]]}]
210.png	[{"transcription": "유토피아", "points": [[48, 28], [2035, 43], [2032, 472], [45, 457]]}, {"transcription": "첨팔산탕", "points": [[2122, 33], [2530, 43], [2520, 515], [2112, 515]]}, {"transcription": "3F", "points": [[2591, 150], [2923, 176], [2904, 446], [2572, 421]]}, {"transcription": "I", "points": [[2301, 300], [2338, 300], [2338, 322], [2301, 322]]}]
211.png	[{"transcription": "연아BAR", "points": [[30, 14], [1659, 34], [1654, 473], [24, 452]]}, {"transcription": "5F", "points": [[1683, 179], [1988, 196], [1976, 408], [1672, 392]]}]
212.png	[{"transcription": "Vp", "points": [[176, 126], [1986, 334], [1872, 1339], [62, 1130]]}, {"transcription": "과룹사의설", "points": [[2075, 312], [2703, 366], [2686, 561], [2058, 507]]}, {"transcription": "플룸왁이", "points": [[2097, 584], [2717, 642], [2699, 837], [2079, 779]]}, {"transcription": "수메가능", "points": [[2104, 875], [2737, 929], [2721, 1125], [2087, 1070]]}, {"transcription": "테라피", "points": [[335, 1300], [2690, 1452], [2648, 2118], [293, 1965]]}, {"transcription": "T7FK", "points": [[345, 1999], [2714, 2212], [2656, 2864], [288, 2652]]}]
213.png	[{"transcription": "92어", "points": [[465, 36], [579, 42], [565, 293], [451, 287]]}, {"transcription": "DAeA탕럽전원", "points": [[43, 208], [79, 212], [69, 315], [33, 312]]}, {"transcription": "아마집", "points": [[7, 384], [415, 336], [438, 525], [30, 573]]}, {"transcription": "국마운술k프리페", "points": [[431, 491], [628, 496], [594, 1926], [397, 1921]]}, {"transcription": "피어치육미국", "points": [[132, 552], [374, 557], [345, 1890], [103, 1885]]}, {"transcription": "클럽디", "points": [[53, 1898], [352, 1890], [358, 2094], [59, 2102]]}, {"transcription": "탁통", "points": [[0, 2082], [359, 2082], [359, 2289], [0, 2289]]}, {"transcription": "B", "points": [[91, 2309], [219, 2274], [250, 2384], [122, 2419]]}, {"transcription": "유흥주점", "points": [[247, 2358], [375, 2358], [375, 2417], [247, 2417]]}]
214.png	[{"transcription": "연이BAR", "points": [[55, 0], [848, 205], [792, 421], [0, 204]]}, {"transcription": "5F", "points": [[832, 222], [990, 234], [978, 383], [820, 370]]}]
215.png	[{"transcription": "s시문e0연", "points": [[69, 101], [454, 110], [403, 1912], [18, 1903]]}, {"transcription": "IK", "points": [[62, 2041], [306, 1927], [380, 2065], [136, 2179]]}, {"transcription": "fn전U 학Gd", "points": [[81, 2176], [335, 2070], [391, 2187], [137, 2293]]}, {"transcription": "4F", "points": [[100, 2456], [300, 2390], [354, 2532], [154, 2598]]}]
216.png	[{"transcription": "S", "points": [[150, 127], [382, 166], [307, 562], [76, 523]]}, {"transcription": "후7국", "points": [[59, 403], [443, 408], [419, 2063], [35, 2058]]}, {"transcription": "PF", "points": [[92, 1919], [381, 1919], [381, 2301], [92, 2301]]}]
217.png	[{"transcription": "카미제커레 어페", "points": [[65, 370], [287, 372], [272, 2256], [51, 2254]]}]
218.png	[{"transcription": "N", "points": [[76, 79], [158, 79], [158, 177], [76, 177]]}, {"transcription": "크룸통미06", "points": [[23, 235], [215, 235], [215, 1276], [23, 1276]]}]
219.png	[{"transcription": "H공으 H#게", "points": [[23, 31], [176, 31], [173, 877], [20, 876]]}, {"transcription": "4F", "points": [[30, 834], [160, 834], [160, 974], [30, 974]]}]
22.png	[{"transcription": "탑라인외과의원", "points": [[111, 41], [819, 31], [821, 132], [112, 141]]}, {"transcription": "콘네에이", "points": [[807, 36], [858, 36], [858, 119], [807, 119]]}, {"transcription": "성평외과", "points": [[875, 41], [1256, 34], [1258, 115], [877, 122]]}]
220.png	[{"transcription": "다", "points": [[78, 1009], [458, 651], [643, 833], [262, 1191]]}, {"transcription": "TEmGTG", "points": [[279, 1085], [373, 1123], [306, 1273], [212, 1234]]}, {"transcription": "CARE", "points": [[343, 1086], [487, 964], [538, 1018], [394, 1141]]}]
221.png	[{"transcription": "LVuU!", "points": [[27, 41], [216, 47], [209, 343], [19, 337]]}, {"transcription": " D", "points": [[49, 544], [148, 541], [158, 846], [58, 850]]}, {"transcription": "허학e노", "points": [[50, 655], [255, 648], [276, 1280], [71, 1284]]}]
222.png	[{"transcription": "정전닭원전", "points": [[99, 60], [342, 60], [342, 835], [99, 835]]}, {"transcription": "노래홀", "points": [[38, 864], [385, 850], [392, 1033], [46, 1047]]}, {"transcription": "3", "points": [[148, 1081], [294, 1081], [294, 1198], [148, 1198]]}]
223.png	[{"transcription": "스커피닭원", "points": [[40, 86], [506, 150], [478, 364], [12, 301]]}, {"transcription": "O", "points": [[424, 382], [475, 382], [475, 484], [424, 484]]}]
224.png	[{"transcription": "미", "points": [[271, 389], [299, 389], [299, 418], [271, 418]]}, {"transcription": "BN", "points": [[21, 402], [44, 404], [38, 466], [15, 464]]}, {"transcription": "필a곰원", "points": [[36, 479], [151, 464], [162, 535], [46, 551]]}, {"transcription": "T062-35-1216", "points": [[1068, 522], [1406, 479], [1416, 547], [1077, 590]]}, {"transcription": "정", "points": [[220, 585], [276, 608], [258, 647], [203, 623]]}]
225.png	[{"transcription": "어호어호아닭사전복", "points": [[94, 100], [383, 103], [360, 2472], [71, 2470]]}]
226.png	[{"transcription": "탕~", "points": [[118, 35], [238, 20], [265, 231], [144, 246]]}, {"transcription": "W 2", "points": [[308, 33], [428, 54], [385, 298], [265, 278]]}, {"transcription": "우조", "points": [[78, 311], [405, 285], [417, 436], [90, 462]]}, {"transcription": "xe", "points": [[127, 409], [436, 421], [371, 2118], [62, 2106]]}, {"transcription": "3821110", "points": [[34, 2179], [365, 2179], [365, 2273], [34, 2273]]}]
227.png	[{"transcription": "노페피리 페", "points": [[72, 24], [196, 31], [177, 348], [53, 341]]}, {"transcription": "3F", "points": [[83, 324], [152, 331], [146, 388], [77, 381]]}]
228.png	[{"transcription": "더원 H큐웨", "points": [[77, 14], [202, 24], [177, 336], [51, 326]]}, {"transcription": "4F", "points": [[86, 330], [159, 330], [159, 384], [86, 384]]}]
229.png	[{"transcription": "전국어전", "points": [[90, 14], [243, 27], [203, 493], [50, 480]]}]
23.png	[{"transcription": "광주스마일안과의원", "points": [[78, 26], [1334, 16], [1334, 103], [78, 113]]}]
230.png	[{"transcription": "03", "points": [[131, 823], [441, 823], [441, 1948], [131, 1948]]}, {"transcription": "F", "points": [[152, 2303], [242, 2303], [242, 2377], [152, 2377]]}]
231.png	[{"transcription": "테B", "points": [[33, 35], [285, 20], [312, 437], [59, 453]]}, {"transcription": "F", "points": [[108, 449], [197, 466], [172, 595], [83, 578]]}]
232.png	[{"transcription": "골트", "points": [[72, 14], [355, 36], [345, 149], [62, 127]]}, {"transcription": "전어", "points": [[101, 151], [319, 174], [298, 363], [80, 341]]}, {"transcription": "피", "points": [[77, 380], [347, 392], [326, 869], [57, 858]]}]
233.png	[{"transcription": "THE", "points": [[456, 191], [756, 177], [761, 294], [461, 308]]}, {"transcription": "학치주", "points": [[105, 273], [815, 264], [823, 969], [113, 978]]}, {"transcription": "M", "points": [[653, 331], [990, 331], [990, 644], [653, 644]]}]
234.png	[{"transcription": "SINCE", "points": [[135, 51], [452, 67], [448, 163], [130, 146]]}, {"transcription": "1965", "points": [[161, 149], [419, 163], [414, 264], [156, 250]]}, {"transcription": "원조", "points": [[85, 368], [446, 313], [471, 499], [110, 554]]}, {"transcription": "k전a장전", "points": [[97, 553], [456, 560], [424, 2431], [65, 2424]]}, {"transcription": "3821110", "points": [[31, 2495], [412, 2495], [412, 2599], [31, 2599]]}]
236.png	[{"transcription": "Whiskey Bar", "points": [[330, 389], [2784, 294], [2807, 901], [353, 996]]}]
237.png	[{"transcription": "생맥주", "points": [[1505, 309], [2582, 222], [2617, 665], [1540, 752]]}, {"transcription": "유흥점", "points": [[716, 373], [1553, 275], [1603, 698], [765, 796]]}, {"transcription": "를국어", "points": [[94, 519], [334, 499], [343, 608], [103, 628]]}, {"transcription": "네삼 상주", "points": [[114, 623], [412, 609], [417, 714], [119, 728]]}, {"transcription": "T062-385-1216", "points": [[2568, 668], [3445, 636], [3449, 740], [2572, 773]]}]
238.png	[{"transcription": "주포유대리운전", "points": [[105, 213], [1111, 278], [1100, 447], [94, 381]]}, {"transcription": "062-444-4444", "points": [[102, 430], [1098, 489], [1090, 636], [93, 577]]}, {"transcription": "F", "points": [[385, 855], [791, 855], [791, 1303], [385, 1303]]}, {"transcription": "단", "points": [[1576, 1238], [1619, 1266], [1582, 1320], [1540, 1292]]}, {"transcription": "포유대리", "points": [[456, 1321], [719, 1328], [716, 1424], [454, 1417]]}, {"transcription": "구클 PALY스통어", "points": [[112, 1769], [1025, 1748], [1028, 1885], [115, 1905]]}, {"transcription": "포유", "points": [[1525, 1805], [1848, 1805], [1848, 2065], [1525, 2065]]}, {"transcription": " APP스통어", "points": [[251, 1901], [1025, 1907], [1024, 2035], [250, 2030]]}, {"transcription": "애플", "points": [[130, 1925], [313, 1932], [309, 2036], [125, 2029]]}, {"transcription": "포유대리운전APP", "points": [[118, 2076], [1038, 2067], [1039, 2176], [119, 2185]]}, {"transcription": "생맥주", "points": [[1447, 2073], [1921, 2073], [1921, 2305], [1447, 2305]]}, {"transcription": "다운받아이용하세요", "points": [[121, 2212], [1029, 2200], [1031, 2318], [122, 2329]]}]
239.png	[{"transcription": "Art of amb", "points": [[1134, 185], [3060, 295], [3041, 648], [1115, 537]]}, {"transcription": "GRILLEDLAMBDINING", "points": [[1226, 588], [2985, 670], [2978, 831], [1219, 750]]}]
24.png	[{"transcription": "|BKWM센터광주", "points": [[202, 57], [1094, 57], [1094, 158], [202, 158]]}, {"transcription": "/BK기업은행", "points": [[1136, 57], [1381, 54], [1382, 102], [1137, 105]]}, {"transcription": "1BK투차중권", "points": [[1138, 94], [1380, 94], [1380, 138], [1138, 138]]}]
240.png	[{"transcription": "M사 전", "points": [[0, 0], [934, 0], [883, 937], [0, 886]]}, {"transcription": "T", "points": [[796, 188], [836, 199], [819, 261], [779, 251]]}, {"transcription": "오라", "points": [[375, 406], [860, 413], [855, 740], [369, 732]]}, {"transcription": "Y", "points": [[307, 527], [325, 527], [325, 545], [307, 545]]}, {"transcription": "ORA", "points": [[67, 780], [301, 780], [301, 1573], [67, 1573]]}, {"transcription": "7080", "points": [[127, 2002], [769, 1973], [783, 2279], [141, 2307]]}]
241.png	[{"transcription": "음트", "points": [[344, 0], [2310, 0], [2257, 1411], [291, 1340]]}, {"transcription": "유흥주점", "points": [[617, 1311], [1983, 1342], [1975, 1684], [610, 1654]]}, {"transcription": "대형룸완비", "points": [[637, 1715], [2003, 1747], [1998, 1981], [632, 1949]]}, {"transcription": "2F", "points": [[23, 1993], [514, 1993], [514, 2330], [23, 2330]]}]
242.png	[{"transcription": "7080", "points": [[37, 502], [1325, 8], [1548, 576], [260, 1071]]}, {"transcription": "놀이너", "points": [[451, 1033], [1391, 647], [1528, 974], [588, 1359]]}, {"transcription": "CLTURE", "points": [[1072, 1148], [1407, 1017], [1442, 1104], [1106, 1235]]}, {"transcription": "MUSIC", "points": [[693, 1311], [970, 1196], [1007, 1282], [730, 1398]]}, {"transcription": "32", "points": [[772, 1455], [1076, 1455], [1076, 1638], [772, 1638]]}, {"transcription": "클림럽 놀이터", "points": [[73, 1646], [1470, 1666], [1466, 1920], [70, 1899]]}]
243.png	[{"transcription": "BMW", "points": [[1689, 155], [2902, 107], [2911, 327], [1698, 374]]}, {"transcription": "무장가점", "points": [[3120, 182], [3577, 172], [3580, 325], [3123, 335]]}]
244.png	[{"transcription": "3 동노래디운", "points": [[532, 227], [2274, 140], [2281, 276], [538, 363]]}, {"transcription": "Mwstctoow", "points": [[2631, 242], [3030, 235], [3031, 295], [2632, 302]]}, {"transcription": "자", "points": [[3025, 253], [3050, 239], [3061, 257], [3036, 271]]}]
245.png	[{"transcription": "오라오라유흥주점", "points": [[75, 166], [3041, 92], [3048, 396], [82, 471]]}, {"transcription": "예약전화 371-7337", "points": [[1744, 567], [3202, 538], [3205, 698], [1747, 727]]}, {"transcription": "대형룸완비", "points": [[160, 611], [1311, 573], [1317, 764], [166, 802]]}]
246.png	[{"transcription": "THE", "points": [[110, 11], [410, 41], [398, 158], [99, 127]]}, {"transcription": "어원k", "points": [[90, 92], [432, 104], [390, 1368], [48, 1357]]}, {"transcription": "설Ho", "points": [[147, 1411], [321, 1413], [316, 1847], [142, 1845]]}]
247.png	[{"transcription": "AIS", "points": [[59, 410], [90, 410], [90, 501], [59, 501]]}]
248.png	[{"transcription": "공 아 HoDLuk !", "points": [[114, 21], [425, 29], [380, 1852], [69, 1844]]}]
249.png	[{"transcription": "아후", "points": [[33, 9], [441, 28], [427, 321], [19, 302]]}, {"transcription": "이ore!", "points": [[24, 324], [423, 322], [428, 1464], [28, 1465]]}, {"transcription": "AF", "points": [[86, 1361], [381, 1361], [381, 1656], [86, 1656]]}]
25.png	[{"transcription": "교보문고", "points": [[99, 29], [868, 29], [868, 161], [99, 161]]}, {"transcription": "cafezal", "points": [[819, 35], [1895, 30], [1895, 149], [820, 153]]}]
251.png	[{"transcription": "국통 M", "points": [[17, 149], [239, 148], [246, 2180], [24, 2181]]}]
255.png	[{"transcription": "문라_H리 !가", "points": [[57, 260], [293, 227], [302, 298], [66, 331]]}, {"transcription": "se뽕스완기", "points": [[73, 379], [339, 382], [327, 1517], [61, 1514]]}]
257.png	[{"transcription": "4F", "points": [[15, 48], [560, 99], [530, 374], [0, 323]]}, {"transcription": "노래z", "points": [[1996, 182], [3344, 286], [3316, 593], [1968, 490]]}]
258.png	[{"transcription": "체 금주한", "points": [[102, 98], [197, 98], [197, 418], [102, 418]]}, {"transcription": "초코테연운홀", "points": [[450, 93], [1982, 108], [1979, 464], [447, 450]]}, {"transcription": "노래홀학", "points": [[2011, 157], [3553, 225], [3542, 508], [2000, 440]]}]
26.png	[{"transcription": "UICM", "points": [[56, 64], [1102, 64], [1102, 199], [56, 199]]}, {"transcription": "OUc", "points": [[1525, 56], [2165, 56], [2165, 194], [1525, 194]]}]
261.png	[{"transcription": "소주탕라", "points": [[76, 23], [1043, 47], [1037, 308], [71, 284]]}, {"transcription": "힐딩룸소주방2F", "points": [[1607, 85], [3588, 143], [3582, 378], [1601, 321]]}, {"transcription": "2F", "points": [[1185, 95], [1364, 95], [1364, 207], [1185, 207]]}, {"transcription": "T371-0090", "points": [[1039, 202], [1479, 220], [1476, 311], [1036, 293]]}]
262.png	[{"transcription": "Eemart24", "points": [[831, 31], [1321, 38], [1319, 160], [829, 153]]}, {"transcription": "이프스테", "points": [[188, 110], [279, 110], [279, 147], [188, 147]]}, {"transcription": "이마트 편의점 상무중앙", "points": [[1770, 122], [2019, 122], [2019, 164], [1770, 164]]}]
264.png	[{"transcription": "70", "points": [[203, 311], [1414, 672], [1264, 1150], [53, 789]]}, {"transcription": "유흥주점", "points": [[555, 967], [1176, 1147], [1108, 1367], [488, 1187]]}, {"transcription": "야F플", "points": [[381, 1169], [1550, 1487], [1429, 1909], [260, 1591]]}, {"transcription": "4F", "points": [[776, 1793], [1102, 1834], [1075, 2038], [749, 1997]]}, {"transcription": "케사라", "points": [[292, 1841], [1702, 2140], [1584, 2670], [174, 2371]]}, {"transcription": "3", "points": [[827, 2500], [1221, 2509], [1215, 2749], [821, 2740]]}]
266.png	[{"transcription": "LuURY", "points": [[248, 311], [843, 405], [820, 552], [225, 458]]}, {"transcription": "S", "points": [[385, 497], [664, 541], [632, 748], [354, 704]]}, {"transcription": "SOJ4", "points": [[208, 757], [794, 820], [776, 999], [190, 937]]}, {"transcription": "Rx", "points": [[205, 956], [348, 982], [332, 1075], [189, 1049]]}, {"transcription": "M", "points": [[634, 996], [770, 1016], [759, 1092], [623, 1072]]}]
267.png	[{"transcription": "THE", "points": [[115, 113], [241, 141], [232, 185], [105, 158]]}, {"transcription": "사", "points": [[113, 170], [197, 176], [190, 271], [106, 265]]}, {"transcription": "FT", "points": [[163, 357], [257, 357], [257, 477], [163, 477]]}, {"transcription": "SOJU RoN", "points": [[329, 799], [681, 838], [675, 893], [323, 854]]}]
269.png	[{"transcription": "수룸소주방", "points": [[131, 0], [2894, 735], [2807, 1061], [44, 304]]}, {"transcription": "2F", "points": [[2968, 842], [3205, 888], [3172, 1056], [2935, 1009]]}]
27.png	[{"transcription": "pepper", "points": [[2842, 29], [3257, 13], [3260, 138], [2845, 155]]}, {"transcription": "페퍼저축은행", "points": [[280, 94], [1590, 64], [1593, 250], [283, 280]]}]
270.png	[{"transcription": "S", "points": [[1395, 65], [2005, 47], [2019, 508], [1409, 526]]}, {"transcription": "수", "points": [[1179, 207], [1374, 190], [1388, 332], [1192, 350]]}, {"transcription": "S스주방", "points": [[342, 403], [1448, 412], [1445, 806], [339, 798]]}, {"transcription": "2F", "points": [[1431, 519], [1659, 519], [1659, 677], [1431, 677]]}]
271.png	[{"transcription": "타테", "points": [[125, 222], [1021, 92], [1041, 239], [145, 369]]}, {"transcription": "3Z4T", "points": [[864, 292], [1189, 241], [1199, 307], [874, 359]]}, {"transcription": "유흥주점", "points": [[580, 342], [767, 314], [772, 349], [585, 377]]}, {"transcription": "POO/", "points": [[88, 415], [501, 353], [512, 426], [99, 488]]}, {"transcription": "카ktvkeGttCtC tC KYtL t구문", "points": [[22, 507], [1227, 328], [1234, 374], [29, 554]]}]
272.png	[{"transcription": "아로미", "points": [[308, 69], [908, 0], [922, 88], [322, 164]]}, {"transcription": "새울", "points": [[7, 189], [337, 73], [365, 146], [35, 261]]}]
273.png	[{"transcription": "라음악홀", "points": [[2, 161], [855, 18], [871, 108], [18, 251]]}]
274.png	[{"transcription": "F", "points": [[40, 165], [290, 125], [299, 174], [49, 214]]}]
275.png	[{"transcription": "ELEVEN", "points": [[1057, 197], [1299, 191], [1301, 262], [1059, 268]]}]
278.png	[{"transcription": "룸부김삼밤수", "points": [[2047, 773], [3032, 731], [3049, 1128], [2065, 1169]]}, {"transcription": "EG", "points": [[243, 828], [645, 866], [602, 1316], [200, 1279]]}, {"transcription": "J", "points": [[388, 1031], [461, 1031], [461, 1060], [388, 1060]]}, {"transcription": "포료차", "points": [[479, 1251], [618, 1251], [618, 1334], [479, 1334]]}]
279.png	[{"transcription": "enart24", "points": [[1031, 211], [2022, 303], [1993, 610], [1003, 517]]}, {"transcription": "새로운 라이프스타일", "points": [[195, 338], [738, 383], [729, 491], [186, 446]]}, {"transcription": "이마트 편의점 상무중앙", "points": [[2131, 514], [2608, 562], [2599, 653], [2122, 605]]}]
28.png	[{"transcription": "UNCO", "points": [[28, 23], [452, 27], [451, 127], [27, 123]]}]
280.png	[{"transcription": "emart", "points": [[50, 103], [389, 95], [393, 212], [53, 221]]}, {"transcription": "24", "points": [[118, 210], [349, 210], [349, 383], [118, 383]]}, {"transcription": "이마트", "points": [[90, 470], [363, 463], [366, 571], [93, 577]]}, {"transcription": "편의점", "points": [[92, 577], [365, 573], [366, 681], [93, 685]]}]
281.png	[{"transcription": "첨단어아", "points": [[75, 121], [840, 209], [761, 873], [0, 785]]}, {"transcription": "RoomN", "points": [[208, 688], [526, 761], [491, 912], [172, 839]]}, {"transcription": "2주방", "points": [[194, 849], [742, 983], [680, 1229], [132, 1095]]}]
284.png	[{"transcription": "3국#아 6", "points": [[24, 26], [179, 13], [257, 907], [102, 920]]}]
285.png	[{"transcription": "진ob 마는s", "points": [[0, 3], [173, 0], [194, 547], [17, 547]]}]
286.png	[{"transcription": "롯폰기", "points": [[150, 133], [905, 119], [909, 358], [154, 371]]}, {"transcription": "초+", "points": [[1028, 134], [1514, 129], [1516, 263], [1029, 268]]}, {"transcription": "오사꼬하", "points": [[1625, 134], [1953, 129], [1954, 192], [1625, 197]]}, {"transcription": "뎅", "points": [[1638, 277], [1691, 277], [1691, 332], [1638, 332]]}, {"transcription": "33스t", "points": [[1037, 288], [1526, 288], [1526, 372], [1037, 372]]}, {"transcription": "L치", "points": [[1721, 286], [1761, 286], [1761, 326], [1721, 326]]}, {"transcription": "이", "points": [[1885, 293], [1925, 272], [1944, 310], [1903, 330]]}, {"transcription": "ROPPONGI", "points": [[134, 399], [921, 399], [921, 475], [134, 475]]}, {"transcription": "IZAKAYA", "points": [[1009, 394], [1511, 402], [1510, 473], [1008, 466]]}, {"transcription": "바미김|불", "points": [[1623, 410], [1945, 415], [1944, 475], [1622, 470]]}]
289.png	[{"transcription": "타이아로마", "points": [[31, 0], [1645, 90], [1645, 532], [0, 340]]}, {"transcription": "6F", "points": [[838, 322], [1087, 337], [1074, 528], [825, 512]]}]
29.png	[{"transcription": "JOADRSD", "points": [[328, 36], [1014, 16], [1016, 99], [330, 120]]}]
290.png	[{"transcription": "전라린전", "points": [[19, 0], [1192, 83], [1176, 400], [0, 264]]}]
291.png	[{"transcription": "3F", "points": [[35, 104], [193, 109], [189, 223], [31, 217]]}, {"transcription": "BAR", "points": [[232, 112], [661, 151], [650, 285], [221, 247]]}, {"transcription": "N", "points": [[727, 192], [838, 153], [880, 280], [769, 318]]}, {"transcription": "치원", "points": [[1005, 217], [1082, 217], [1082, 285], [1005, 285]]}]
292.png	[{"transcription": "라마타이아로마", "points": [[69, 40], [1211, 154], [1194, 328], [51, 214]]}, {"transcription": "4흥", "points": [[1110, 322], [1212, 330], [1206, 400], [1104, 392]]}]
293.png	[{"transcription": "애플팅구클럽", "points": [[84, 0], [1076, 150], [1048, 316], [57, 163]]}, {"transcription": "애필비앤에프", "points": [[622, 269], [991, 312], [984, 365], [616, 322]]}]
297.png	[{"transcription": "H-&G", "points": [[45, 139], [235, 139], [231, 1679], [41, 1678]]}, {"transcription": "SF", "points": [[54, 1611], [188, 1589], [206, 1706], [73, 1728]]}]
298.png	[{"transcription": "수맥장", "points": [[455, 13], [850, 39], [839, 187], [444, 160]]}, {"transcription": "s전원u", "points": [[1078, 112], [1092, 112], [1092, 139], [1078, 139]]}]
299.png	[{"transcription": "애플한", "points": [[38, 0], [798, 45], [780, 321], [20, 272]]}, {"transcription": "S", "points": [[796, 162], [842, 130], [875, 178], [828, 209]]}, {"transcription": "5F", "points": [[1020, 153], [1150, 161], [1143, 263], [1013, 255]]}]
3.png	[{"transcription": "LG U+", "points": [[373, 82], [1298, 16], [1305, 306], [395, 371]]}, {"transcription": "L그", "points": [[143, 133], [320, 156], [302, 287], [125, 264]]}]
30.png	[{"transcription": "D학원 D", "points": [[2263, 264], [3245, 298], [3238, 523], [2256, 488]]}]
300.png	[{"transcription": "BAR", "points": [[113, 108], [434, 134], [420, 315], [99, 288]]}, {"transcription": "프라이빗", "points": [[643, 105], [1205, 208], [1171, 406], [610, 302]]}, {"transcription": "6F", "points": [[200, 292], [335, 292], [335, 397], [200, 397]]}, {"transcription": "F", "points": [[520, 331], [531, 331], [531, 345], [520, 345]]}]
301.png	[{"transcription": "GT", "points": [[152, 797], [228, 816], [205, 926], [128, 907]]}, {"transcription": "x", "points": [[71, 933], [236, 937], [224, 1482], [59, 1478]]}, {"transcription": "3", "points": [[70, 1498], [197, 1498], [197, 1629], [70, 1629]]}]
302.png	[{"transcription": "7", "points": [[235, 256], [540, 219], [618, 893], [313, 930]]}, {"transcription": "BOKKOHE", "points": [[73, 940], [699, 1012], [682, 1174], [55, 1102]]}, {"transcription": "LONCE", "points": [[85, 1126], [711, 1183], [696, 1357], [69, 1300]]}, {"transcription": "6F", "points": [[301, 1480], [518, 1480], [518, 1692], [301, 1692]]}]
303.png	[{"transcription": "원다", "points": [[816, 0], [1069, 94], [1004, 288], [738, 180]]}, {"transcription": "KOREAN DESSERT CAFE", "points": [[93, 102], [731, 125], [729, 174], [91, 152]]}]
304.png	[{"transcription": "치", "points": [[520, 245], [603, 245], [603, 335], [520, 335]]}, {"transcription": "e", "points": [[321, 388], [468, 388], [468, 580], [321, 580]]}, {"transcription": "BAR3F", "points": [[143, 840], [718, 933], [692, 1092], [117, 1000]]}]
305.png	[{"transcription": "택국", "points": [[120, 90], [473, 176], [422, 384], [70, 298]]}, {"transcription": "24시치", "points": [[500, 202], [703, 275], [665, 382], [462, 310]]}, {"transcription": "마사지", "points": [[47, 326], [777, 519], [714, 849], [0, 656]]}, {"transcription": "영업중", "points": [[532, 326], [663, 359], [645, 430], [514, 397]]}, {"transcription": "커플룸수번실완비", "points": [[82, 737], [484, 831], [470, 895], [67, 801]]}, {"transcription": "라마타이", "points": [[81, 832], [492, 922], [469, 1029], [58, 940]]}, {"transcription": "4F", "points": [[503, 831], [755, 879], [716, 1089], [464, 1041]]}]
306.png	[{"transcription": "첨F단", "points": [[0, 140], [189, 129], [201, 386], [12, 397]]}, {"transcription": "xF", "points": [[116, 236], [122, 236], [122, 242], [116, 242]]}, {"transcription": "KorEY", "points": [[57, 766], [107, 751], [114, 778], [64, 793]]}, {"transcription": "CALSCR", "points": [[56, 791], [110, 770], [118, 797], [64, 817]]}, {"transcription": "AFE", "points": [[62, 808], [97, 808], [97, 831], [62, 831]]}, {"transcription": "Take out", "points": [[64, 982], [168, 956], [177, 995], [72, 1021]]}]
307.png	[{"transcription": "~자u페피고아k꾸교노국학", "points": [[54, 102], [172, 98], [214, 1346], [95, 1350]]}]
308.png	[{"transcription": "24OPE", "points": [[30, 61], [192, 0], [213, 29], [50, 103]]}, {"transcription": "다자공마아주전", "points": [[157, 68], [194, 66], [213, 378], [175, 380]]}, {"transcription": "-s", "points": [[57, 110], [132, 104], [157, 388], [82, 394]]}, {"transcription": "062-376-3030", "points": [[63, 648], [225, 578], [242, 614], [80, 684]]}]
309.png	[]
31.png	[{"transcription": "UNICO", "points": [[28, 18], [1445, 18], [1445, 352], [28, 352]]}]
311.png	[{"transcription": "허전다문", "points": [[0, 85], [332, 85], [332, 1631], [0, 1631]]}, {"transcription": "S", "points": [[19, 1761], [246, 1557], [339, 1655], [120, 1858]]}]
312.png	[]
314.png	[{"transcription": "Live cub", "points": [[785, 201], [1089, 229], [1079, 337], [775, 309]]}, {"transcription": "마", "points": [[358, 406], [632, 406], [632, 794], [358, 794]]}, {"transcription": "테라", "points": [[1235, 591], [1440, 591], [1440, 807], [1235, 807]]}, {"transcription": "MMRA", "points": [[921, 990], [1315, 997], [1313, 1139], [919, 1132]]}, {"transcription": "니", "points": [[904, 1034], [969, 1034], [969, 1080], [904, 1080]]}, {"transcription": "T", "points": [[944, 1049], [957, 1049], [957, 1069], [944, 1069]]}]
315.png	[{"transcription": "ax6", "points": [[278, 245], [355, 235], [384, 476], [308, 485]]}, {"transcription": "KU", "points": [[328, 478], [371, 440], [484, 571], [441, 609]]}, {"transcription": "GTRIKEZH", "points": [[321, 584], [503, 628], [487, 697], [305, 654]]}, {"transcription": "Asesd", "points": [[529, 593], [572, 550], [604, 581], [560, 625]]}, {"transcription": "스크린", "points": [[107, 670], [795, 854], [721, 1137], [33, 954]]}, {"transcription": "마", "points": [[102, 1032], [744, 943], [806, 1405], [165, 1494]]}, {"transcription": "3F", "points": [[338, 1386], [541, 1415], [513, 1615], [310, 1587]]}, {"transcription": "스트라이크존 상무구장 32-0013", "points": [[85, 1647], [795, 1779], [780, 1860], [70, 1728]]}]
